epoch,running_time,training_loss,training_rmse,validation_loss,validation_rmse,validation_mae
0,485.5625,1473.954537,6.741267681,119.5699421,5.100843906,3.108638048
1,469.25,898.1414651,5.262257576,110.9314163,4.91313076,3.043582201
2,467.71875,849.6223895,5.118146896,107.7545668,4.842268944,3.017412186
3,439.46875,823.7927148,5.039744854,105.7568846,4.797173023,2.986535549
4,343.75,807.8311263,4.990683079,104.5006256,4.768595695,2.963268995
5,359.15625,796.3924277,4.95522356,103.4893977,4.745467186,2.943996191
6,332.453125,787.3162942,4.926906586,102.821951,4.730139732,2.929506302
7,328.5625,779.7590989,4.903203487,102.2920469,4.717935085,2.919002771
8,328.0625,773.2325926,4.882640839,101.9087047,4.709087372,2.911760807
9,327.25,767.6331449,4.864929199,101.5989064,4.701923847,2.906399965
10,324.5625,762.535025,4.848747253,101.3293573,4.695682049,2.901985168
11,321.1875,757.9356422,4.834102154,101.095857,4.690268993,2.898212433
12,321.015625,753.6699598,4.8204813,100.889421,4.68547821,2.894589663
13,323.28125,749.5658829,4.807337284,100.7087047,4.681278706,2.891305685
14,357.40625,745.6648597,4.794812202,100.5584946,4.677786827,2.888175249
15,355.484375,742.3151919,4.784029961,100.4269352,4.674726486,2.885540247
16,378.046875,739.0976925,4.773650646,100.307063,4.671935558,2.883442879
17,357.6875,736.1185968,4.764019489,100.1861516,4.669118881,2.88117981
18,368.359375,733.1894585,4.754534245,100.0601536,4.666182518,2.878909111
19,386.625,730.418259,4.745537758,99.92713654,4.663079262,2.876377106
20,359.578125,727.6819915,4.736641407,99.79651177,4.660030365,2.873816729
21,371.046875,725.1172631,4.72828722,99.68233693,4.657363892,2.871741056
22,375.546875,722.5874583,4.720031738,99.60374141,4.655527115,2.870172739
23,388.640625,720.1535284,4.71207428,99.51654959,4.65348959,2.868387222
24,370.6875,717.8887,4.704658985,99.45456231,4.652039528,2.867288351
25,357.25,715.6541357,4.697332859,99.3910147,4.650553226,2.865762472
26,363.828125,713.5492727,4.690419197,99.34216291,4.649410248,2.864525318
27,383.875,711.5919788,4.683982849,99.32043952,4.648901463,2.863877535
28,381.90625,709.6719448,4.677659988,99.30754936,4.648600101,2.86292696
29,375.3125,707.809438,4.671517372,99.31559223,4.648788452,2.862407684
30,371.96875,706.0139788,4.665588856,99.35091496,4.649614811,2.86225915
31,451.5,704.2767357,4.659842491,99.40111321,4.650789261,2.862400532
32,469.0625,702.7031749,4.654635429,99.42478573,4.651343346,2.86228466
33,472.03125,701.0664776,4.649210453,99.48084092,4.652654171,2.86226511
34,481.734375,699.4839449,4.643961906,99.55234939,4.654325962,2.862561226
35,497.234375,697.9219157,4.638772964,99.61174458,4.655714035,2.862539768
36,504.765625,696.341095,4.633516788,99.65923053,4.656823635,2.862392902
37,375.3125,707.809438,4.671517372,99.31559223,4.648788452,2.862407684
38,371.96875,706.0139788,4.665588856,99.35091496,4.649614811,2.86225915
39,451.5,704.2767357,4.659842491,99.40111321,4.650789261,2.862400532
40,469.0625,702.7031749,4.654635429,99.42478573,4.651343346,2.86228466
41,472.03125,701.0664776,4.649210453,99.48084092,4.652654171,2.86226511
42,481.734375,699.4839449,4.643961906,99.55234939,4.654325962,2.862561226
43,497.234375,697.9219157,4.638772964,99.61174458,4.655714035,2.862539768
44,504.765625,696.341095,4.633516788,99.65923053,4.656823635,2.862392902
45,375.3125,707.809438,4.671517372,99.31559223,4.648788452,2.862407684
46,371.96875,706.0139788,4.665588856,99.35091496,4.649614811,2.86225915
47,451.5,704.2767357,4.659842491,99.40111321,4.650789261,2.862400532
48,469.0625,702.7031749,4.654635429,99.42478573,4.651343346,2.86228466
49,472.03125,701.0664776,4.649210453,99.48084092,4.652654171,2.86226511
