epoch,,validation_rmse
0,,7.168883629
1,,6.907994185
2,,6.806269488
3,,6.73640363
4,,6.630895055
5,,6.505428148
6,,6.296762797
7,,6.213934169
8,,6.187207175
9,,6.162309517
10,,6.125235228
11,,6.099564864
12,,6.085635016
13,,6.081142332
14,,6.062388367
15,,6.057054556
16,,6.040060775
17,,6.025172972
18,,6.020557437
19,,6.015860478
20,,5.999884729
21,,5.986419009
22,,5.983009044
23,,5.973020858
24,,5.970054488
25,,5.959926682
26,,5.951063836
27,,5.948768268
28,,5.941426048
29,,5.944137482
30,,5.934125108
31,,5.924004555
32,,5.924551618
33,,5.911512128
34,,5.906971298
35,,5.903275959
36,,5.894080595
37,,5.893163563
38,,5.88908145
39,,5.884465496
40,,5.886115591
41,,5.882015576
42,,5.879520232
43,,5.883071209
44,,5.877907266
45,,5.884422027
46,,5.871998396
47,,5.873036921
48,,5.867946007
49,,5.862149056
